ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
1,,"Balaenoptera bonaerensis",-58.5_60.5_1973,-58.500000,60.500000,,,1973
1,,"Balaenoptera bonaerensis",-59.5_94.5_1974,-59.500000,94.500000,,,1974
1,,"Balaenoptera bonaerensis",-61.5_55.5_1979,-61.500000,55.500000,,,1979
1,,"Balaenoptera bonaerensis",-65.5_76.5_1980,-65.500000,76.500000,,,1980
1,,"Balaenoptera bonaerensis",-61.5_102.5_1980,-61.500000,102.500000,,,1980
2,,"Balaenoptera bonaerensis",-59.5_58.5_1973,-59.500000,58.500000,,,1973
2,,"Balaenoptera bonaerensis",-59.5_71.5_1973,-59.500000,71.500000,,,1973
2,,"Balaenoptera bonaerensis",-61.5_58.5_1975,-61.500000,58.500000,,,1975
2,,"Balaenoptera bonaerensis",-60.5_93.5_1975,-60.500000,93.500000,,,1975
2,,"Balaenoptera bonaerensis",-60.5_100.5_1980,-60.500000,100.500000,,,1980
3,,"Balaenoptera bonaerensis",-57.5_54.5_1973,-57.500000,54.500000,,,1973
3,,"Balaenoptera bonaerensis",-59.5_83.5_1974,-59.500000,83.500000,,,1974
3,,"Balaenoptera bonaerensis",-65.5_74.5_1980,-65.500000,74.500000,,,1980
4,,"Balaenoptera bonaerensis",-58.5_67.5_1973,-58.500000,67.500000,,,1973
4,,"Balaenoptera bonaerensis",-61.5_94.5_1974,-61.500000,94.500000,,,1974
4,,"Balaenoptera bonaerensis",-60.5_92.5_1974,-60.500000,92.500000,,,1974
4,,"Balaenoptera bonaerensis",-61.5_55.5_1975,-61.500000,55.500000,,,1975
4,,"Balaenoptera bonaerensis",-63.5_98.5_1979,-63.500000,98.500000,,,1979
4,,"Balaenoptera bonaerensis",-65.5_59.5_1980,-65.500000,59.500000,,,1980
4,,"Balaenoptera bonaerensis",-63.5_77.5_1980,-63.500000,77.500000,,,1980
6,,"Balaenoptera bonaerensis",-59.5_105.5_1973,-59.500000,105.500000,,,1973
6,,"Balaenoptera bonaerensis",-62.5_69.5_1979,-62.500000,69.500000,,,1979
5,,"Balaenoptera bonaerensis",-57.5_93.5_1973,-57.500000,93.500000,,,1973
5,,"Balaenoptera bonaerensis",-58.5_85.5_1974,-58.500000,85.500000,,,1974
5,,"Balaenoptera bonaerensis",-67.5_74.5_1980,-67.500000,74.500000,,,1980
7,,"Balaenoptera bonaerensis",-64.5_75.5_1972,-64.500000,75.500000,,,1972
7,,"Balaenoptera bonaerensis",-60.5_98.5_1974,-60.500000,98.500000,,,1974
7,,"Balaenoptera bonaerensis",-62.5_94.5_1979,-62.500000,94.500000,,,1979
9,,"Balaenoptera bonaerensis",-60.5_66.5_1979,-60.500000,66.500000,,,1979
10,,"Balaenoptera bonaerensis",-62.5_63.5_1978,-62.500000,63.500000,,,1978
10,,"Balaenoptera bonaerensis",-62.5_96.5_1980,-62.500000,96.500000,,,1980
10,,"Balaenoptera bonaerensis",-64.5_77.5_1980,-64.500000,77.500000,,,1980
10,,"Balaenoptera bonaerensis",-65.5_77.5_1980,-65.500000,77.500000,,,1980
10,,"Balaenoptera bonaerensis",-63.5_103.5_1980,-63.500000,103.500000,,,1980
11,,"Balaenoptera bonaerensis",-58.5_83.5_1975,-58.500000,83.500000,,,1975
11,,"Balaenoptera bonaerensis",-67.5_75.5_1980,-67.500000,75.500000,,,1980
11,,"Balaenoptera bonaerensis",-67.5_72.5_1980,-67.500000,72.500000,,,1980
12,,"Balaenoptera bonaerensis",-62.5_80.5_1974,-62.500000,80.500000,,,1974
12,,"Balaenoptera bonaerensis",-61.5_98.5_1975,-61.500000,98.500000,,,1975
13,,"Balaenoptera bonaerensis",-60.5_73.5_1974,-60.500000,73.500000,,,1974
13,,"Balaenoptera bonaerensis",-63.5_60.5_1975,-63.500000,60.500000,,,1975
13,,"Balaenoptera bonaerensis",-65.5_59.5_1976,-65.500000,59.500000,,,1976
13,,"Balaenoptera bonaerensis",-65.5_68.5_1980,-65.500000,68.500000,,,1980
14,,"Balaenoptera bonaerensis",-61.5_65.5_1975,-61.500000,65.500000,,,1975
15,,"Balaenoptera bonaerensis",-65.5_74.5_1974,-65.500000,74.500000,,,1974
15,,"Balaenoptera bonaerensis",-61.5_78.5_1975,-61.500000,78.500000,,,1975
16,,"Balaenoptera bonaerensis",-63.5_77.5_1977,-63.500000,77.500000,,,1977
16,,"Balaenoptera bonaerensis",-64.5_75.5_1980,-64.500000,75.500000,,,1980
17,,"Balaenoptera bonaerensis",-60.5_103.5_1974,-60.500000,103.500000,,,1974
17,,"Balaenoptera bonaerensis",-59.5_71.5_1975,-59.500000,71.500000,,,1975
17,,"Balaenoptera bonaerensis",-61.5_80.5_1975,-61.500000,80.500000,,,1975
17,,"Balaenoptera bonaerensis",-63.5_87.5_1980,-63.500000,87.500000,,,1980
18,,"Balaenoptera bonaerensis",-60.5_67.5_1975,-60.500000,67.500000,,,1975
18,,"Balaenoptera bonaerensis",-65.5_60.5_1979,-65.500000,60.500000,,,1979
19,,"Balaenoptera bonaerensis",-61.5_89.5_1973,-61.500000,89.500000,,,1973
19,,"Balaenoptera bonaerensis",-61.5_99.5_1974,-61.500000,99.500000,,,1974
19,,"Balaenoptera bonaerensis",-61.5_74.5_1975,-61.500000,74.500000,,,1975
19,,"Balaenoptera bonaerensis",-66.5_62.5_1979,-66.500000,62.500000,,,1979
20,,"Balaenoptera bonaerensis",-61.5_88.5_1974,-61.500000,88.500000,,,1974
20,,"Balaenoptera bonaerensis",-61.5_93.5_1975,-61.500000,93.500000,,,1975
20,,"Balaenoptera bonaerensis",-60.5_74.5_1977,-60.500000,74.500000,,,1977
20,,"Balaenoptera bonaerensis",-62.5_83.5_1980,-62.500000,83.500000,,,1980
21,,"Balaenoptera bonaerensis",-62.5_102.5_1975,-62.500000,102.500000,,,1975
22,,"Balaenoptera bonaerensis",-64.5_64.5_1974,-64.500000,64.500000,,,1974
22,,"Balaenoptera bonaerensis",-59.5_57.5_1974,-59.500000,57.500000,,,1974
22,,"Balaenoptera bonaerensis",-60.5_82.5_1975,-60.500000,82.500000,,,1975
23,,"Balaenoptera bonaerensis",-66.5_65.5_1976,-66.500000,65.500000,,,1976
23,,"Balaenoptera bonaerensis",-62.5_60.5_1976,-62.500000,60.500000,,,1976
23,,"Balaenoptera bonaerensis",-66.5_71.5_1980,-66.500000,71.500000,,,1980
23,,"Balaenoptera bonaerensis",-64.5_59.5_1980,-64.500000,59.500000,,,1980
24,,"Balaenoptera bonaerensis",-62.5_67.5_1975,-62.500000,67.500000,,,1975
24,,"Balaenoptera bonaerensis",-62.5_75.5_1979,-62.500000,75.500000,,,1979
24,,"Balaenoptera bonaerensis",-65.5_68.5_1979,-65.500000,68.500000,,,1979
24,,"Balaenoptera bonaerensis",-62.5_81.5_1979,-62.500000,81.500000,,,1979
24,,"Balaenoptera bonaerensis",-66.5_73.5_1980,-66.500000,73.500000,,,1980
25,,"Balaenoptera bonaerensis",-63.5_70.5_1974,-63.500000,70.500000,,,1974
25,,"Balaenoptera bonaerensis",-62.5_98.5_1975,-62.500000,98.500000,,,1975
25,,"Balaenoptera bonaerensis",-63.5_78.5_1980,-63.500000,78.500000,,,1980
25,,"Balaenoptera bonaerensis",-62.5_95.5_1980,-62.500000,95.500000,,,1980
26,,"Balaenoptera bonaerensis",-64.5_80.5_1974,-64.500000,80.500000,,,1974
26,,"Balaenoptera bonaerensis",-63.5_61.5_1977,-63.500000,61.500000,,,1977
26,,"Balaenoptera bonaerensis",-60.5_84.5_1979,-60.500000,84.500000,,,1979
27,,"Balaenoptera bonaerensis",-60.5_99.5_1974,-60.500000,99.500000,,,1974
27,,"Balaenoptera bonaerensis",-66.5_66.5_1979,-66.500000,66.500000,,,1979
28,,"Balaenoptera bonaerensis",-63.5_78.5_1974,-63.500000,78.500000,,,1974
28,,"Balaenoptera bonaerensis",-65.5_72.5_1974,-65.500000,72.500000,,,1974
28,,"Balaenoptera bonaerensis",-61.5_82.5_1974,-61.500000,82.500000,,,1974
28,,"Balaenoptera bonaerensis",-62.5_105.5_1975,-62.500000,105.500000,,,1975
28,,"Balaenoptera bonaerensis",-65.5_65.5_1975,-65.500000,65.500000,,,1975
28,,"Balaenoptera bonaerensis",-63.5_74.5_1979,-63.500000,74.500000,,,1979
28,,"Balaenoptera bonaerensis",-63.5_83.5_1980,-63.500000,83.500000,,,1980
29,,"Balaenoptera bonaerensis",-60.5_94.5_1973,-60.500000,94.500000,,,1973
29,,"Balaenoptera bonaerensis",-61.5_75.5_1974,-61.500000,75.500000,,,1974
29,,"Balaenoptera bonaerensis",-65.5_67.5_1974,-65.500000,67.500000,,,1974
29,,"Balaenoptera bonaerensis",-64.5_58.5_1975,-64.500000,58.500000,,,1975
29,,"Balaenoptera bonaerensis",-63.5_86.5_1980,-63.500000,86.500000,,,1980
30,,"Balaenoptera bonaerensis",-60.5_62.5_1975,-60.500000,62.500000,,,1975
30,,"Balaenoptera bonaerensis",-59.5_85.5_1977,-59.500000,85.500000,,,1977
30,,"Balaenoptera bonaerensis",-63.5_75.5_1979,-63.500000,75.500000,,,1979
30,,"Balaenoptera bonaerensis",-64.5_60.5_1980,-64.500000,60.500000,,,1980
31,,"Balaenoptera bonaerensis",-63.5_57.5_1975,-63.500000,57.500000,,,1975
31,,"Balaenoptera bonaerensis",-62.5_100.5_1975,-62.500000,100.500000,,,1975
31,,"Balaenoptera bonaerensis",-61.5_68.5_1975,-61.500000,68.500000,,,1975
31,,"Balaenoptera bonaerensis",-63.5_104.5_1979,-63.500000,104.500000,,,1979
32,,"Balaenoptera bonaerensis",-62.5_95.5_1972,-62.500000,95.500000,,,1972
32,,"Balaenoptera bonaerensis",-65.5_75.5_1974,-65.500000,75.500000,,,1974
32,,"Balaenoptera bonaerensis",-62.5_81.5_1974,-62.500000,81.500000,,,1974
32,,"Balaenoptera bonaerensis",-60.5_76.5_1975,-60.500000,76.500000,,,1975
32,,"Balaenoptera bonaerensis",-65.5_67.5_1975,-65.500000,67.500000,,,1975
32,,"Balaenoptera bonaerensis",-65.5_61.5_1979,-65.500000,61.500000,,,1979
32,,"Balaenoptera bonaerensis",-65.5_78.5_1979,-65.500000,78.500000,,,1979
32,,"Balaenoptera bonaerensis",-63.5_69.5_1979,-63.500000,69.500000,,,1979
33,,"Balaenoptera bonaerensis",-65.5_64.5_1972,-65.500000,64.500000,,,1972
33,,"Balaenoptera bonaerensis",-62.5_77.5_1975,-62.500000,77.500000,,,1975
33,,"Balaenoptera bonaerensis",-64.5_54.5_1978,-64.500000,54.500000,,,1978
33,,"Balaenoptera bonaerensis",-63.5_82.5_1980,-63.500000,82.500000,,,1980
33,,"Balaenoptera bonaerensis",-65.5_60.5_1980,-65.500000,60.500000,,,1980
33,,"Balaenoptera bonaerensis",-63.5_94.5_1980,-63.500000,94.500000,,,1980
34,,"Balaenoptera bonaerensis",-64.5_55.5_1974,-64.500000,55.500000,,,1974
34,,"Balaenoptera bonaerensis",-65.5_85.5_1979,-65.500000,85.500000,,,1979
35,,"Balaenoptera bonaerensis",-65.5_65.5_1972,-65.500000,65.500000,,,1972
35,,"Balaenoptera bonaerensis",-63.5_65.5_1975,-63.500000,65.500000,,,1975
35,,"Balaenoptera bonaerensis",-64.5_77.5_1978,-64.500000,77.500000,,,1978
35,,"Balaenoptera bonaerensis",-66.5_71.5_1979,-66.500000,71.500000,,,1979
35,,"Balaenoptera bonaerensis",-63.5_58.5_1980,-63.500000,58.500000,,,1980
36,,"Balaenoptera bonaerensis",-63.5_76.5_1973,-63.500000,76.500000,,,1973
36,,"Balaenoptera bonaerensis",-60.5_100.5_1974,-60.500000,100.500000,,,1974
36,,"Balaenoptera bonaerensis",-60.5_88.5_1975,-60.500000,88.500000,,,1975
36,,"Balaenoptera bonaerensis",-63.5_92.5_1979,-63.500000,92.500000,,,1979
36,,"Balaenoptera bonaerensis",-62.5_77.5_1979,-62.500000,77.500000,,,1979
36,,"Balaenoptera bonaerensis",-66.5_67.5_1979,-66.500000,67.500000,,,1979
36,,"Balaenoptera bonaerensis",-64.5_89.5_1979,-64.500000,89.500000,,,1979
36,,"Balaenoptera bonaerensis",-62.5_58.5_1980,-62.500000,58.500000,,,1980
37,,"Balaenoptera bonaerensis",-64.5_57.5_1972,-64.500000,57.500000,,,1972
37,,"Balaenoptera bonaerensis",-65.5_68.5_1972,-65.500000,68.500000,,,1972
37,,"Balaenoptera bonaerensis",-61.5_62.5_1974,-61.500000,62.500000,,,1974
37,,"Balaenoptera bonaerensis",-59.5_84.5_1975,-59.500000,84.500000,,,1975
37,,"Balaenoptera bonaerensis",-63.5_64.5_1975,-63.500000,64.500000,,,1975
37,,"Balaenoptera bonaerensis",-63.5_79.5_1975,-63.500000,79.500000,,,1975
38,,"Balaenoptera bonaerensis",-58.5_86.5_1975,-58.500000,86.500000,,,1975
38,,"Balaenoptera bonaerensis",-61.5_71.5_1975,-61.500000,71.500000,,,1975
38,,"Balaenoptera bonaerensis",-62.5_66.5_1979,-62.500000,66.500000,,,1979
39,,"Balaenoptera bonaerensis",-63.5_82.5_1972,-63.500000,82.500000,,,1972
39,,"Balaenoptera bonaerensis",-62.5_68.5_1977,-62.500000,68.500000,,,1977
39,,"Balaenoptera bonaerensis",-65.5_70.5_1980,-65.500000,70.500000,,,1980
40,,"Balaenoptera bonaerensis",-64.5_76.5_1972,-64.500000,76.500000,,,1972
40,,"Balaenoptera bonaerensis",-64.5_74.5_1972,-64.500000,74.500000,,,1972
40,,"Balaenoptera bonaerensis",-65.5_71.5_1972,-65.500000,71.500000,,,1972
40,,"Balaenoptera bonaerensis",-58.5_89.5_1973,-58.500000,89.500000,,,1973
40,,"Balaenoptera bonaerensis",-62.5_69.5_1978,-62.500000,69.500000,,,1978
40,,"Balaenoptera bonaerensis",-62.5_64.5_1979,-62.500000,64.500000,,,1979
40,,"Balaenoptera bonaerensis",-62.5_65.5_1979,-62.500000,65.500000,,,1979
40,,"Balaenoptera bonaerensis",-64.5_66.5_1979,-64.500000,66.500000,,,1979
41,,"Balaenoptera bonaerensis",-64.5_89.5_1972,-64.500000,89.500000,,,1972
41,,"Balaenoptera bonaerensis",-61.5_61.5_1975,-61.500000,61.500000,,,1975
42,,"Balaenoptera bonaerensis",-63.5_105.5_1972,-63.500000,105.500000,,,1972
42,,"Balaenoptera bonaerensis",-65.5_58.5_1972,-65.500000,58.500000,,,1972
42,,"Balaenoptera bonaerensis",-64.5_58.5_1972,-64.500000,58.500000,,,1972
42,,"Balaenoptera bonaerensis",-61.5_77.5_1975,-61.500000,77.500000,,,1975
42,,"Balaenoptera bonaerensis",-64.5_65.5_1975,-64.500000,65.500000,,,1975
42,,"Balaenoptera bonaerensis",-62.5_82.5_1975,-62.500000,82.500000,,,1975
42,,"Balaenoptera bonaerensis",-65.5_77.5_1978,-65.500000,77.500000,,,1978
42,,"Balaenoptera bonaerensis",-64.5_57.5_1978,-64.500000,57.500000,,,1978
42,,"Balaenoptera bonaerensis",-63.5_63.5_1978,-63.500000,63.500000,,,1978
43,,"Balaenoptera bonaerensis",-64.5_75.5_1974,-64.500000,75.500000,,,1974
43,,"Balaenoptera bonaerensis",-61.5_75.5_1976,-61.500000,75.500000,,,1976
44,,"Balaenoptera bonaerensis",-61.5_88.5_1975,-61.500000,88.500000,,,1975
44,,"Balaenoptera bonaerensis",-63.5_68.5_1975,-63.500000,68.500000,,,1975
44,,"Balaenoptera bonaerensis",-64.5_73.5_1977,-64.500000,73.500000,,,1977
44,,"Balaenoptera bonaerensis",-65.5_62.5_1980,-65.500000,62.500000,,,1980
45,,"Balaenoptera bonaerensis",-65.5_69.5_1972,-65.500000,69.500000,,,1972
45,,"Balaenoptera bonaerensis",-60.5_69.5_1973,-60.500000,69.500000,,,1973
45,,"Balaenoptera bonaerensis",-65.5_61.5_1974,-65.500000,61.500000,,,1974
45,,"Balaenoptera bonaerensis",-64.5_71.5_1974,-64.500000,71.500000,,,1974
45,,"Balaenoptera bonaerensis",-64.5_73.5_1974,-64.500000,73.500000,,,1974
45,,"Balaenoptera bonaerensis",-64.5_58.5_1974,-64.500000,58.500000,,,1974
45,,"Balaenoptera bonaerensis",-63.5_67.5_1975,-63.500000,67.500000,,,1975
45,,"Balaenoptera bonaerensis",-63.5_66.5_1979,-63.500000,66.500000,,,1979
45,,"Balaenoptera bonaerensis",-64.5_83.5_1980,-64.500000,83.500000,,,1980
45,,"Balaenoptera bonaerensis",-64.5_82.5_1980,-64.500000,82.500000,,,1980
45,,"Balaenoptera bonaerensis",-64.5_85.5_1980,-64.500000,85.500000,,,1980
46,,"Balaenoptera bonaerensis",-63.5_83.5_1972,-63.500000,83.500000,,,1972
46,,"Balaenoptera bonaerensis",-63.5_89.5_1972,-63.500000,89.500000,,,1972
46,,"Balaenoptera bonaerensis",-63.5_77.5_1972,-63.500000,77.500000,,,1972
46,,"Balaenoptera bonaerensis",-63.5_56.5_1975,-63.500000,56.500000,,,1975
46,,"Balaenoptera bonaerensis",-64.5_76.5_1980,-64.500000,76.500000,,,1980
47,,"Balaenoptera bonaerensis",-63.5_79.5_1973,-63.500000,79.500000,,,1973
47,,"Balaenoptera bonaerensis",-64.5_69.5_1975,-64.500000,69.500000,,,1975
47,,"Balaenoptera bonaerensis",-63.5_103.5_1975,-63.500000,103.500000,,,1975
48,,"Balaenoptera bonaerensis",-60.5_101.5_1974,-60.500000,101.500000,,,1974
48,,"Balaenoptera bonaerensis",-60.5_85.5_1974,-60.500000,85.500000,,,1974
48,,"Balaenoptera bonaerensis",-64.5_59.5_1978,-64.500000,59.500000,,,1978
48,,"Balaenoptera bonaerensis",-62.5_92.5_1980,-62.500000,92.500000,,,1980
48,,"Balaenoptera bonaerensis",-66.5_66.5_1980,-66.500000,66.500000,,,1980
49,,"Balaenoptera bonaerensis",-64.5_67.5_1975,-64.500000,67.500000,,,1975
49,,"Balaenoptera bonaerensis",-60.5_82.5_1978,-60.500000,82.500000,,,1978
49,,"Balaenoptera bonaerensis",-62.5_74.5_1978,-62.500000,74.500000,,,1978
50,,"Balaenoptera bonaerensis",-64.5_77.5_1972,-64.500000,77.500000,,,1972
50,,"Balaenoptera bonaerensis",-61.5_84.5_1975,-61.500000,84.500000,,,1975
50,,"Balaenoptera bonaerensis",-64.5_58.5_1979,-64.500000,58.500000,,,1979
51,,"Balaenoptera bonaerensis",-61.5_89.5_1974,-61.500000,89.500000,,,1974
51,,"Balaenoptera bonaerensis",-60.5_85.5_1975,-60.500000,85.500000,,,1975
51,,"Balaenoptera bonaerensis",-66.5_75.5_1980,-66.500000,75.500000,,,1980
52,,"Balaenoptera bonaerensis",-61.5_58.5_1974,-61.500000,58.500000,,,1974
52,,"Balaenoptera bonaerensis",-62.5_92.5_1974,-62.500000,92.500000,,,1974
52,,"Balaenoptera bonaerensis",-63.5_80.5_1975,-63.500000,80.500000,,,1975
52,,"Balaenoptera bonaerensis",-62.5_72.5_1976,-62.500000,72.500000,,,1976
52,,"Balaenoptera bonaerensis",-65.5_57.5_1977,-65.500000,57.500000,,,1977
52,,"Balaenoptera bonaerensis",-62.5_75.5_1978,-62.500000,75.500000,,,1978
52,,"Balaenoptera bonaerensis",-62.5_77.5_1978,-62.500000,77.500000,,,1978
52,,"Balaenoptera bonaerensis",-64.5_90.5_1980,-64.500000,90.500000,,,1980
53,,"Balaenoptera bonaerensis",-61.5_86.5_1974,-61.500000,86.500000,,,1974
53,,"Balaenoptera bonaerensis",-61.5_73.5_1975,-61.500000,73.500000,,,1975
53,,"Balaenoptera bonaerensis",-61.5_83.5_1979,-61.500000,83.500000,,,1979
54,,"Balaenoptera bonaerensis",-61.5_85.5_1975,-61.500000,85.500000,,,1975
54,,"Balaenoptera bonaerensis",-62.5_86.5_1975,-62.500000,86.500000,,,1975
54,,"Balaenoptera bonaerensis",-61.5_75.5_1975,-61.500000,75.500000,,,1975
54,,"Balaenoptera bonaerensis",-65.5_71.5_1980,-65.500000,71.500000,,,1980
55,,"Balaenoptera bonaerensis",-60.5_81.5_1975,-60.500000,81.500000,,,1975
55,,"Balaenoptera bonaerensis",-63.5_59.5_1976,-63.500000,59.500000,,,1976
55,,"Balaenoptera bonaerensis",-65.5_62.5_1978,-65.500000,62.500000,,,1978
55,,"Balaenoptera bonaerensis",-65.5_63.5_1979,-65.500000,63.500000,,,1979
55,,"Balaenoptera bonaerensis",-65.5_75.5_1980,-65.500000,75.500000,,,1980
56,,"Balaenoptera bonaerensis",-62.5_81.5_1973,-62.500000,81.500000,,,1973
