ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
56,,"Balaenoptera bonaerensis",-62.5_78.5_1974,-62.500000,78.500000,,,1974
56,,"Balaenoptera bonaerensis",-64.5_69.5_1977,-64.500000,69.500000,,,1977
56,,"Balaenoptera bonaerensis",-64.5_54.5_1979,-64.500000,54.500000,,,1979
58,,"Balaenoptera bonaerensis",-62.5_56.5_1976,-62.500000,56.500000,,,1976
58,,"Balaenoptera bonaerensis",-60.5_73.5_1977,-60.500000,73.500000,,,1977
59,,"Balaenoptera bonaerensis",-62.5_82.5_1973,-62.500000,82.500000,,,1973
59,,"Balaenoptera bonaerensis",-61.5_92.5_1973,-61.500000,92.500000,,,1973
59,,"Balaenoptera bonaerensis",-61.5_99.5_1975,-61.500000,99.500000,,,1975
60,,"Balaenoptera bonaerensis",-61.5_93.5_1974,-61.500000,93.500000,,,1974
60,,"Balaenoptera bonaerensis",-60.5_95.5_1974,-60.500000,95.500000,,,1974
60,,"Balaenoptera bonaerensis",-62.5_89.5_1974,-62.500000,89.500000,,,1974
61,,"Balaenoptera bonaerensis",-62.5_61.5_1976,-62.500000,61.500000,,,1976
61,,"Balaenoptera bonaerensis",-62.5_68.5_1979,-62.500000,68.500000,,,1979
61,,"Balaenoptera bonaerensis",-65.5_66.5_1979,-65.500000,66.500000,,,1979
62,,"Balaenoptera bonaerensis",-63.5_79.5_1974,-63.500000,79.500000,,,1974
62,,"Balaenoptera bonaerensis",-63.5_105.5_1975,-63.500000,105.500000,,,1975
62,,"Balaenoptera bonaerensis",-59.5_83.5_1976,-59.500000,83.500000,,,1976
64,,"Balaenoptera bonaerensis",-61.5_85.5_1974,-61.500000,85.500000,,,1974
64,,"Balaenoptera bonaerensis",-61.5_64.5_1975,-61.500000,64.500000,,,1975
64,,"Balaenoptera bonaerensis",-62.5_83.5_1979,-62.500000,83.500000,,,1979
64,,"Balaenoptera bonaerensis",-64.5_73.5_1980,-64.500000,73.500000,,,1980
65,,"Balaenoptera bonaerensis",-66.5_66.5_1976,-66.500000,66.500000,,,1976
65,,"Balaenoptera bonaerensis",-63.5_60.5_1976,-63.500000,60.500000,,,1976
65,,"Balaenoptera bonaerensis",-64.5_64.5_1977,-64.500000,64.500000,,,1977
66,,"Balaenoptera bonaerensis",-62.5_85.5_1974,-62.500000,85.500000,,,1974
66,,"Balaenoptera bonaerensis",-60.5_74.5_1975,-60.500000,74.500000,,,1975
66,,"Balaenoptera bonaerensis",-65.5_69.5_1976,-65.500000,69.500000,,,1976
66,,"Balaenoptera bonaerensis",-64.5_62.5_1977,-64.500000,62.500000,,,1977
67,,"Balaenoptera bonaerensis",-60.5_91.5_1975,-60.500000,91.500000,,,1975
67,,"Balaenoptera bonaerensis",-61.5_92.5_1975,-61.500000,92.500000,,,1975
68,,"Balaenoptera bonaerensis",-61.5_78.5_1974,-61.500000,78.500000,,,1974
68,,"Balaenoptera bonaerensis",-62.5_79.5_1975,-62.500000,79.500000,,,1975
68,,"Balaenoptera bonaerensis",-60.5_69.5_1976,-60.500000,69.500000,,,1976
69,,"Balaenoptera bonaerensis",-62.5_78.5_1976,-62.500000,78.500000,,,1976
69,,"Balaenoptera bonaerensis",-64.5_58.5_1977,-64.500000,58.500000,,,1977
70,,"Balaenoptera bonaerensis",-63.5_59.5_1973,-63.500000,59.500000,,,1973
70,,"Balaenoptera bonaerensis",-66.5_67.5_1976,-66.500000,67.500000,,,1976
70,,"Balaenoptera bonaerensis",-60.5_82.5_1976,-60.500000,82.500000,,,1976
71,,"Balaenoptera bonaerensis",-61.5_91.5_1974,-61.500000,91.500000,,,1974
71,,"Balaenoptera bonaerensis",-61.5_80.5_1976,-61.500000,80.500000,,,1976
71,,"Balaenoptera bonaerensis",-64.5_55.5_1976,-64.500000,55.500000,,,1976
71,,"Balaenoptera bonaerensis",-64.5_60.5_1977,-64.500000,60.500000,,,1977
71,,"Balaenoptera bonaerensis",-63.5_93.5_1980,-63.500000,93.500000,,,1980
72,,"Balaenoptera bonaerensis",-63.5_65.5_1977,-63.500000,65.500000,,,1977
72,,"Balaenoptera bonaerensis",-64.5_59.5_1977,-64.500000,59.500000,,,1977
72,,"Balaenoptera bonaerensis",-66.5_66.5_1978,-66.500000,66.500000,,,1978
72,,"Balaenoptera bonaerensis",-65.5_72.5_1980,-65.500000,72.500000,,,1980
73,,"Balaenoptera bonaerensis",-63.5_75.5_1973,-63.500000,75.500000,,,1973
73,,"Balaenoptera bonaerensis",-62.5_76.5_1974,-62.500000,76.500000,,,1974
73,,"Balaenoptera bonaerensis",-60.5_81.5_1977,-60.500000,81.500000,,,1977
73,,"Balaenoptera bonaerensis",-66.5_61.5_1977,-66.500000,61.500000,,,1977
73,,"Balaenoptera bonaerensis",-64.5_55.5_1977,-64.500000,55.500000,,,1977
74,,"Balaenoptera bonaerensis",-59.5_87.5_1973,-59.500000,87.500000,,,1973
74,,"Balaenoptera bonaerensis",-65.5_64.5_1978,-65.500000,64.500000,,,1978
75,,"Balaenoptera bonaerensis",-62.5_95.5_1973,-62.500000,95.500000,,,1973
76,,"Balaenoptera bonaerensis",-63.5_75.5_1977,-63.500000,75.500000,,,1977
76,,"Balaenoptera bonaerensis",-66.5_72.5_1979,-66.500000,72.500000,,,1979
76,,"Balaenoptera bonaerensis",-63.5_91.5_1980,-63.500000,91.500000,,,1980
77,,"Balaenoptera bonaerensis",-64.5_76.5_1974,-64.500000,76.500000,,,1974
77,,"Balaenoptera bonaerensis",-64.5_63.5_1977,-64.500000,63.500000,,,1977
77,,"Balaenoptera bonaerensis",-65.5_65.5_1977,-65.500000,65.500000,,,1977
78,,"Balaenoptera bonaerensis",-63.5_90.5_1972,-63.500000,90.500000,,,1972
79,,"Balaenoptera bonaerensis",-61.5_65.5_1973,-61.500000,65.500000,,,1973
79,,"Balaenoptera bonaerensis",-62.5_91.5_1974,-62.500000,91.500000,,,1974
79,,"Balaenoptera bonaerensis",-62.5_76.5_1976,-62.500000,76.500000,,,1976
79,,"Balaenoptera bonaerensis",-63.5_57.5_1977,-63.500000,57.500000,,,1977
80,,"Balaenoptera bonaerensis",-64.5_72.5_1974,-64.500000,72.500000,,,1974
80,,"Balaenoptera bonaerensis",-62.5_59.5_1976,-62.500000,59.500000,,,1976
80,,"Balaenoptera bonaerensis",-64.5_65.5_1977,-64.500000,65.500000,,,1977
80,,"Balaenoptera bonaerensis",-65.5_66.5_1980,-65.500000,66.500000,,,1980
81,,"Balaenoptera bonaerensis",-61.5_63.5_1976,-61.500000,63.500000,,,1976
82,,"Balaenoptera bonaerensis",-65.5_65.5_1974,-65.500000,65.500000,,,1974
82,,"Balaenoptera bonaerensis",-61.5_68.5_1976,-61.500000,68.500000,,,1976
82,,"Balaenoptera bonaerensis",-64.5_63.5_1979,-64.500000,63.500000,,,1979
82,,"Balaenoptera bonaerensis",-63.5_67.5_1979,-63.500000,67.500000,,,1979
83,,"Balaenoptera bonaerensis",-65.5_61.5_1972,-65.500000,61.500000,,,1972
83,,"Balaenoptera bonaerensis",-61.5_94.5_1973,-61.500000,94.500000,,,1973
